reg_num,subj,crse,title
20418,PHIL,PHIL,PHIL
20419,PHIL,PHIL,PHIL
10425,PHIL,PHIL,PHIL
10767,PHIL,PHIL,PHIL
10602,BIOL,BIOL,BIOL
10427,PHIL,PHIL,PHIL
20421,PHIL,PHIL,PHIL
20422,PHIL,PHIL,PHIL
20423,PHIL,PHIL,PHIL
20670,PHIL,PHIL,PHIL
10428,PHIL,PHIL,PHIL
10429,PHIL,PHIL,PHIL
20424,PHIL,PHIL,PHIL
10075,PHYS,PHYS,PHYS
10181,PHYS,PHYS,PHYS
10603,BIOL,BIOL,BIOL
10182,PHYS,PHYS,PHYS
10183,PHYS,PHYS,PHYS
10184,PHYS,PHYS,PHYS
10185,PHYS,PHYS,PHYS
10186,PHYS,PHYS,PHYS
10392,PHYS,PHYS,PHYS
10187,PHYS,PHYS,PHYS
10188,PHYS,PHYS,PHYS
10189,PHYS,PHYS,PHYS
10190,PHYS,PHYS,PHYS
10604,BIOL,BIOL,BIOL
10191,PHYS,PHYS,PHYS
10192,PHYS,PHYS,PHYS
10193,PHYS,PHYS,PHYS
10194,PHYS,PHYS,PHYS
20402,PHYS,PHYS,PHYS
20403,PHYS,PHYS,PHYS
20404,PHYS,PHYS,PHYS
20405,PHYS,PHYS,PHYS
20406,PHYS,PHYS,PHYS
20407,PHYS,PHYS,PHYS
10606,BIOL,BIOL,BIOL
20409,PHYS,PHYS,PHYS
20410,PHYS,PHYS,PHYS
20658,PHYS,PHYS,PHYS
20412,PHYS,PHYS,PHYS
20413,PHYS,PHYS,PHYS
20415,PHYS,PHYS,PHYS
10076,PHYS,PHYS,PHYS
10195,PHYS,PHYS,PHYS
10196,PHYS,PHYS,PHYS
10393,PHYS,PHYS,PHYS
20579,BIOL,BIOL,BIOL
10399,PHYS,PHYS,PHYS
10401,PHYS,PHYS,PHYS
20392,PHYS,PHYS,PHYS
10702,PHYS,PHYS,PHYS
10402,PHYS,PHYS,PHYS
10404,PHYS,PHYS,PHYS
10405,PHYS,PHYS,PHYS
20394,PHYS,PHYS,PHYS
20395,PHYS,PHYS,PHYS
20396,PHYS,PHYS,PHYS
20583,BIOL,BIOL,BIOL
20397,PHYS,PHYS,PHYS
10407,PHYS,PHYS,PHYS
20398,PHYS,PHYS,PHYS
20399,PHYS,PHYS,PHYS
10409,PHYS,PHYS,PHYS
10411,PHYS,PHYS,PHYS
20400,PHYS,PHYS,PHYS
10633,POL,POL,POL
20613,POL,POL,POL
20612,POL,POL,POL
20584,BIOL,BIOL,BIOL
10635,POL,POL,POL
20611,POL,POL,POL
10521,POL,POL,POL
10636,POL,POL,POL
10637,POL,POL,POL
10769,POL,POL,POL
20675,POL,POL,POL
20618,POL,POL,POL
10634,POL,POL,POL
20622,POL,POL,POL
20586,BIOL,BIOL,BIOL
20609,POL,POL,POL
20614,POL,POL,POL
10638,POL,POL,POL
20615,POL,POL,POL
20616,POL,POL,POL
10398,PSY,PSY,PSY
10400,PSY,PSY,PSY
10403,PSY,PSY,PSY
10406,PSY,PSY,PSY
10408,PSY,PSY,PSY
10763,ANTH,ANTH,ANTH
20587,BIOL,BIOL,BIOL
20401,PSY,PSY,PSY
20408,PSY,PSY,PSY
20411,PSY,PSY,PSY
20414,PSY,PSY,PSY
20416,PSY,PSY,PSY
10413,PSY,PSY,PSY
10753,PSY,PSY,PSY
20662,PSY,PSY,PSY
20663,PSY,PSY,PSY
10414,PSY,PSY,PSY
20588,BIOL,BIOL,BIOL
20426,PSY,PSY,PSY
20428,PSY,PSY,PSY
20429,PSY,PSY,PSY
20430,PSY,PSY,PSY
20431,PSY,PSY,PSY
10416,PSY,PSY,PSY
20432,PSY,PSY,PSY
20433,PSY,PSY,PSY
20434,PSY,PSY,PSY
10754,PSY,PSY,PSY
